favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
81049,Twitter for iPhone,b'Stock Market at new all-time high! Working on new trade deals that will be great for U.S. and its workers!',realDonaldTrump,FALSE,Sat Jul 15 16:21:12 +0000 2017,15294,8.86259E+17
70048,Twitter for iPhone,b'Today we honored our true American heroes on the first-ever National Vietnam War Veterans Day.\n#ThankAVeteran\xe2\x80\xa6 https://t.co/deOHapcV4J',realDonaldTrump,FALSE,Thu Mar 30 02:12:09 +0000 2017,15788,8.4727E+17
104510,Twitter for iPhone,b'The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!',realDonaldTrump,FALSE,Sat Aug 05 22:44:34 +0000 2017,24022,8.93966E+17
77917,Twitter for iPhone,"b'We are in the NAFTA (worst trade deal ever made) renegotiation process with Mexico &amp; Canada.Both being very difficult,may have to terminate?'",realDonaldTrump,FALSE,Sun Aug 27 13:51:35 +0000 2017,17909,9.01804E+17
104095,Twitter for iPhone,"b'For years, even as a ""civilian,"" I listened as Republicans pushed the Repeal and Replace of ObamaCare. Now they finally have their chance!'",realDonaldTrump,FALSE,Sun Jul 09 20:07:11 +0000 2017,24798,8.84142E+17
67924,Twitter for iPhone,b'The Democrats are now alluding to the the concept that having an Informant placed in an opposing party\xe2\x80\x99s campaign i\xe2\x80\xa6 https://t.co/t9Ba06crSF',realDonaldTrump,FALSE,Fri May 25 12:04:16 +0000 2018,18179,9.99984E+17
72429,Twitter for iPhone,b'#MadeInAmerica Showcase! https://t.co/rT0WIE99yP',realDonaldTrump,FALSE,Tue Jul 24 02:07:39 +0000 2018,18258,1.02158E+18
66265,Twitter for iPhone,"b'I called Chuck Schumer yesterday to see if the Dems want to do a great HealthCare Bill. ObamaCare is badly broken, big premiums. Who knows!'",realDonaldTrump,FALSE,Sat Oct 07 12:17:47 +0000 2017,12090,9.16639E+17
126936,Twitter for iPhone,"b'I have stated my concerns with Amazon long before the Election. Unlike others, they pay little or no taxes to state\xe2\x80\xa6 https://t.co/ONyVYY2yMe'",realDonaldTrump,FALSE,Thu Mar 29 11:57:38 +0000 2018,31980,9.79327E+17
48720,Twitter for iPhone,b'I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!',realDonaldTrump,FALSE,Sun Feb 25 01:00:46 +0000 2018,8277,9.67565E+17
91059,Twitter for iPhone,b'NBC news is #FakeNews and more dishonest than even CNN. They are a disgrace to good reporting. No wonder their news ratings are way down!',realDonaldTrump,FALSE,Wed Oct 04 14:47:53 +0000 2017,20518,9.15589E+17
55800,Twitter for iPhone,b'Governor @RicardoRossello- \nWe are with you and the people of Puerto Rico. Stay safe! #PRStrong',realDonaldTrump,FALSE,Thu Sep 21 03:13:07 +0000 2017,11149,9.10703E+17
85518,Twitter for iPhone,"b""Everybody is asking why the Justice Department (and FBI) isn't looking into all of the dishonesty going on with Crooked Hillary &amp; the Dems..""",realDonaldTrump,FALSE,Fri Nov 03 10:57:47 +0000 2017,22913,9.26403E+17
112501,Twitter for iPhone,b'Kim Jong Un of North Korea made a very wise and well reasoned decision. The alternative would have been both catastrophic and unacceptable!',realDonaldTrump,FALSE,Wed Aug 16 11:39:34 +0000 2017,25378,8.97785E+17
74676,Twitter for iPhone,b'New home sales reach a 10 year high. Stock Market has more record gains. Hopefully Republican Senators will give us\xe2\x80\xa6 https://t.co/DrEJ6caWjM',realDonaldTrump,FALSE,Tue Nov 28 02:48:53 +0000 2017,15360,9.3534E+17
86751,Twitter for iPhone,"b'.@FoxNews  Poll numbers plummet on the Democrat inspired and paid for Russian Witch Hunt. With all of the bias, lyi\xe2\x80\xa6 https://t.co/42rEL4UcSF'",realDonaldTrump,FALSE,Sat Jun 23 11:33:01 +0000 2018,21667,1.01049E+18
