favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
107797,Twitter for iPhone,b'A total WITCH HUNT with massive conflicts of interest!',,False,Mon Mar 19 13:07:50 +0000 2018,23641,975720503997620224
64353,Twitter for iPhone,b'Our thoughts and prayers are with everyone in the path of California\xe2\x80\x99s wildfires. I encourage everyone to heed the\xe2\x80\xa6 https://t.co/CO5bDgsj2t',,False,Wed Dec 06 16:11:55 +0000 2017,13155,938440878577856512
53464,Twitter for iPhone,b'Join me at 11:00am:\nWatch here: https://t.co/veqKmsGAwf https://t.co/UzndIjIqjM',,False,Fri Feb 17 15:34:14 +0000 2017,9294,832614137586933760
81049,Twitter for iPhone,b'Stock Market at new all-time high! Working on new trade deals that will be great for U.S. and its workers!',,False,Sat Jul 15 16:21:12 +0000 2017,15294,886259363412926464
70048,Twitter for iPhone,b'Today we honored our true American heroes on the first-ever National Vietnam War Veterans Day.\n#ThankAVeteran\xe2\x80\xa6 https://t.co/deOHapcV4J',,False,Thu Mar 30 02:12:09 +0000 2017,15788,847270189171228672
104510,Twitter for iPhone,b'The United Nations Security Council just voted 15-0 to sanction North Korea. China and Russia voted with us. Very big financial impact!',,False,Sat Aug 05 22:44:34 +0000 2017,24022,893965986566733824
77917,Twitter for iPhone,"b'We are in the NAFTA (worst trade deal ever made) renegotiation process with Mexico &amp; Canada.Both being very difficult,may have to terminate?'",,False,Sun Aug 27 13:51:35 +0000 2017,17909,901804388649500672
104095,Twitter for iPhone,"b'For years, even as a ""civilian,"" I listened as Republicans pushed the Repeal and Replace of ObamaCare. Now they finally have their chance!'",,False,Sun Jul 09 20:07:11 +0000 2017,24798,884141905436696576
67924,Twitter for iPhone,b'The Democrats are now alluding to the the concept that having an Informant placed in an opposing party\xe2\x80\x99s campaign i\xe2\x80\xa6 https://t.co/t9Ba06crSF',,False,Fri May 25 12:04:16 +0000 2018,18179,999984492197613568
72429,Twitter for iPhone,b'#MadeInAmerica Showcase! https://t.co/rT0WIE99yP',,False,Tue Jul 24 02:07:39 +0000 2018,18258,1021577620796964870
